"id","text","Hello","Done","Connect","Order","Changing","Return","Other","Inform","Request","ID_product","size_product","color_product","material_product","cost_product","amount_product","name_promotion","content_promotion","Id member","phone member","level member","benefit member","feedback","shiping fee","size customer","height customer","weight customer","addr store","phone store","addr member"
"378760","Khách 21: Chi moi so la trung don nen keu nv ktra lai don hang.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378761","Khách 21: Ngay mot nv khac alo cho chi chot set hong nua","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378762","Khách 21: Luc dau la chi dat 2 mau set hong va set veset hong luon co doc ten chot. Ngay mai nv e alo noi chi dat co 1 set hong ah. Chi noi la co them set vet hong nua. Nv noi ko thay nen keu chi chup hinh lai gui wa tn la ok chot ok wa tn roi. ( chi nghi la ok va nv ko thay alo lai vay la chot tren tn la xong)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378763","Khách 21: Chi so bi trung don nen co noi voi nv la kiem tra hang lai roi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378764","Khách 21: Shop xem lai tn nhe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378765","Khách 21: Shop coi lai tin nhan nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378766","Khách 21: Con don sau chi gui lai shop vi nv shop chot 2 lan. ( 1 lan tn ok ma ko thay alo lai chi nghi chot roi) hom sau nv goi nua","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378767","Khách 21: Chi nhan 1 don roi nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378768","Khách 21: Shop gui 2 lan do bi trung don roi ne","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378769","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378770","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378771","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378772","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378773","Khách 21: Shop oi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378774","Khách 21: Huhu chi mong do ve ne","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378775","Khách 21: Do dai cam hay hong deu ok. Vest ngan la hong e oi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378776","Khách 21: Coi chung bi trung don hang do","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378777","Khách 21: E xem hoi thu cac ban hom wa co chot hang gui cho chi chua","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378778","Khách 21: Vest do chi lay hong ma","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378779","Ok c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378780","Còn set vest ngắn còn màu đen th nha c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378781","Khách 21: Ok e hong hay cam deu dc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378782","Dạ set hồng quần dài còn nha c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378783","Khách 21: Toi do chi dat 2 mau va co doc ten","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378784","Khách 21: Mau hong","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378785","Khách 21: Chot hang cho chi nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378786","Khách 21: E set do e oi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378787","Khách 21:","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378788","Khách 21: CHI THICH MUA DO SHOP LAM LUON","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378789","Ok c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378790","Khách 21: NHO CHỐT HÀNG CHO CHI NHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378791","Khách 21: SHOP OI","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378792","Khách 21: VẬY là 1 sét hông và sét mã 10 màu hồng","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378793","Khách 21: 138 TRẦN HƯNG ĐẠO- TP. PHAN THIẾT - T, BINH THUẬN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378794","Dạ ok c cho e xin địa chỉ nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378795","Khách 21: Chi co nghe doc ten","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378796","Khách 21: 150k","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378797","Khách 21: Chi co dat mau 10 nay nua ne e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378798","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378799","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378800","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378801","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378802","onversation: Khách 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378803","Khách 22: Áo thun mã k 18 còn hàng k shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378804","Khách 22: Alo","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378805","Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378806","Khách 22: De e cái hồng nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378807","Khách 22: Dam này con k vay shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378808","Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378809","Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378810","Khách 22: Ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378811","Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378812","Khách 22: Dầm này còn k vậy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378813","onversation: Khách 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378814","Khách 23: Chị cảm ơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378815","Khách 23: Ok e nhe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378816","chị coi live mới cá bạn gọi chốt chị nhắc các bạn co đơn trừ tiền bên e trừ cho mình nha chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378817","dạ chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378818","Khách 23: Ok e vậy cũng dc e . Để chị coi live rồi chọn mẫu khác nhe . Có j thiếu đủ j mình tính e ha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378819","e cấn trừ lỗi này cho mình ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378820","hay mình coi live mới đặt mẫu khác","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378821","dạ đúng rồi ạ chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378822","Khách 23: Shop gởi lại mẫu mình mua hay sao shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378823","dạ chị đơn lỗi e nhận được rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378824","m tra mẫu này còn e gửi về lại cho mình nha chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378825","Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/DoHoaiPhuong1613/videos/1335511403493391/?comment_id=691603125049875)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378826","dạ chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378827","Khách 23: E gởi shop biu","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378828","Chị đọc kĩ thông tin em gửi nhé! Chị lưu ý ship thường đừng ship nhanh vì phí ship sẽ cao nha chị! Chị gửi về vui lòng để thông tin người gửi là tên facebook & sdt đặt hàng nha!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378829","Đơn hàng mình gửi về shop ĐỖ HOÀI PHƯƠNG Đ/c :67/4 đường 30/4 kp2 phường trung dũng tp Biên Hòa Đồng Nai Sdt:xxxxx Ghi chú giúp em là hàng lỗi bên dưới cục hàng, kèm theo tờ bill tiền ngoài cục hàng  và để đầy đủ thông tin giúp e ạ: tên facebook đặt hàng & sđt đặt hàng. Phí SHIP hàng lỗi bên e sẽ chịu (trường hợp bên giao hàng bắt trả trước thì để thu hộ tiền ship giúp e nhé ) .LUU Ý MÌNH KHÔNG GUI BÊN GIAO HÀNG NHANH GIÚP E VÌ PHÍ RẤT CAO và KHÔNG THU COD giá trị hàng. Sau khi nhận được hàng c gửi về bên e sẽ gọi lại và giải quyết cho c luôn ạ!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378830","Khách 23: Lát chị về chụp nhe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378831","Khách 23: Chị đang ra đường","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378832","Khách 23: Ok e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378833","Dạ em chào chị Ken Nguyen. Chị vui lòng chụp giúp em tờ bill MỘC ĐỎ bên trong gói hàng, bill có ghi chữ bằng bút bi, mặt sau có ghi những món chị chốt kèm giá tiền, chụp lại gửi em check nha !","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378834","Khách 23: Chị xử lý đơn giúp e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378835","Khách 23: Và bên hông k có dây kéo hay j hết chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378836","Khách 23: E mua áo dài","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378837","Khách 23: E hồi chiều có nhận hàng mà hàng bị lỗi chị ah","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378838","Khách 23: Alo chị ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378839","onversation: Khách 24","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378840","Khách 24: Gio minh dat ko dc ah","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378841","Dạ hiện bên e chưa kiểm kê được số lương để check ib, mai chị nt lại giúp e nha. Còn nếu mình có đơn trên live thì mai bên e mới soạn và gọi chị đợi giúp e ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378842","Khách 24: Còn ko shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378843","Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378844","Khách 24: Quan legging con ko","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378845","Dạ tạm hết quần rồi chị yêu ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378846","Khách 24: Còn ko shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378847","Khách 24: Ship minh quan den size 28.2 quan legging","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378848","Khách 24: Vay ah.ok shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378849","Dạ em đi đơn nước hoa lá cho mình rồi á chị ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378850","Khách 24: 1 chai lá .1 chai bbr là 2 chai","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378851","Khách 24: Vay ship minh nuoc hoa nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378852","Khách 24: Mẫu nào hết vay shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378853","Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378854","Khách 24: Vay la minh lay 1 chai nc hoa lá.1 chai scandal mini.1 quan den size l.co j nt báo minh bit nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378855","Khách 24: Thêm chai nc hoa scandal mini nua nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378856","Khách 24: Ship minh them quan nay chung với nuoc hoa nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378857","Dạ vâng ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378858","Khách 24: 532/3/9 kinh duong vuong p an lac q binh tanxxxxx giao buoi trua khoag 11h 30 nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378859","Khách 24: Thu 7 giao mình cho dia chi cty","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378860","Khách 24: Thu 7 cn có giao hang ko ban","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378861","Dạ mình đặt hàng để lại SĐT và ĐỊA CHỈ để bên em lên đơn cho mình ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378862","Khách 24: Ship minh chai lá nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378863","Dạ giá là 120k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378864","Khách 24: Gia bao nhiu vay","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378865","Dạ còn nhé chị yêu ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378866","Khách 24: Ben minh còn nuoc hoa lacome lá ko","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378867","1 cặp giá 125k nha chi yêu","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378868","dạ chai mini giá 69k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378869","Khách 24: Chai nay mini ha? Gia bao nhiu","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378870","dạ shop còn chai scandal mini được không chị ơi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378871","Khách 24: Vay khi nao ve chai kia shop ship chung chai bbr dc ko?","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378872","Dạ hiện tại shop còn mỗi chai này thôi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378873","Khách 24: 3-5 ten lua p an lac a q binh tân tphcmxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378874","Khách 24: Ship minh 2 chai nay nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378875","Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378876","Khách 24: Tổng cộng 3 cái nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378877","Khách 24: Ship minh quan tây nâu.đen size l.quan jean size M .3 cái nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378878","Khách 24: Den con size l ko shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378879","Còn quần nâu sz L và nước hoa thôi ạ <","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378880","Dạ hiện tại shop tạm hết quần đen sz M rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378881","Khách 24: 1 chai bbr","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378882","Khách 24: Ship minh 2 quan den nhu hinh size M quan nâu size l","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378883","Dạ còn nha chị Thuong Nguyen  . Mình đặt hàng để lại SĐT và ĐỊA CHỈ để bên em lên đơn cho mình ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378884","Khách 24: Nuoc hoa bbr còn ko shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378885","Dạ shop còn mẫu quần này thoi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378886","Khách 24: 2 quan nay con ko shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378887","chị Phương có canh số đo ba vòng hết trên live, nhân viên bên em không tư vấn số kg cho mình được ạ .Mình chốt hàng vui lòng xem kĩ chắc chắn rồi đặt hàng giúp em nhé .( LƯU Ý bên em không đổi trả cho mình trường hợp mặc không vừa ạ )","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378888","Khách 24: Quan này size m khoag bao nhiu kg mac vay shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378889","Dạ khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378890","Khách 24: Nuoc hoa khi nao về lại vay shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378891","Em chốt đơn hàng cho mình rồi chị nhé .Vì đơn hàng chốt qua tin nhắn nên bên e sẽ không gọi điện lại .Hàng chốt sẽ gói đi hàng liền nên chị tổng bill một lần giúp em .( Lưu ý bên em không ktra hàng trước khi nhận ,CÓ ĐƠN TRÊN LIVE c nhớ nhăc ạ , sau khi nhận hàng có vấn đề liên hệ hotline bên e để giải quyết ) Cám ơn chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378892","Khách 24: Quan den size l va dam do","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378893","Khách 24: Hom qua nt roi ma","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378894","Dạ mình đặt mẫu quần với đầm nào avajy ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378895","Khách 24: Vay ship minh quan voi dam nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378896","Dạ mẫu nước hoa này tạm hết ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378897","Khách 24: Thêm chai nuoc hoa nay nua nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378898","Khách 24: 532/3/9 kinh duong vuong p an lac q binh tan tphcmxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378899","Khách 24: Ship mình quan den size       l.đầm đỏ nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378900","Khách 24: Don hang 500k dc mien ship ko shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378901","Khách 24: Tại thay live hom qua ko có size","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378902","Dạ set này còn sz M thôi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378903","Khách 24: Set này 2 size ha shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378904","Dạ còn sz M nha chị Thuong Nguyen  . Mình đặt hàng để lại SĐT và ĐỊA CHỈ để bên em lên đơn cho mình ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378905","Khách 24: Còn này shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378906","Dạ chị mẫu này bên shop tạm hết ạ. Khi nào về lại chị Phương sẽ live lại ạ, lúc đó chị đặt lại giúp e nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378907","Khách 24: Nay con ko shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378908","và đầm màu đỏ chị nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378909","Dạ vậy em lấy cho mình mã quần đen sz L 120","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378910","Khách 24: Đầm màu đỏ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378911","Khách 24: Ship minh quan den size l","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378912","dạ giống mẫu ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378913","Khách 24: 2 quan nay giong nhau hay khac vay shop","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378914","Cảm ơn bạn đã nhắn tin. Chúng tôi hiện đang vắng mặt và sẽ trả lời bạn trong giờ làm việc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378915","Em cám ơn chị Thuong Nguyen  nhiều lắm luôn !!!  . Em chúc chị luôn xinh đẹp","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378916","Khách 24: Ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378917","Em chốt đơn hàng cho mình rồi chị nhé .Vì đơn hàng chốt qua tin nhắn nên bên e sẽ không gọi điện lại .Hàng chốt sẽ gói đi hàng liền nên chị tổng bill một lần giúp em .( Lưu ý bên em không ktra hàng trước khi nhận ,CÓ ĐƠN TRÊN LIVE c nhớ nhăc ạ , sau khi nhận hàng có vấn đề liên hệ hotline bên e để giải quyết ) Cám ơn chị ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378918","Ship thêm 25k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378919","dạ đầm trắng 185k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378920","Khách 24: Ok tổng cộng bao nhiu? Mau trắng nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378921","Em gửi về địa chỉ này cho chị nhé","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378922","532/3/9 kinh duong vuong p an lac q binh tan tphcmxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378923","Khách 24: Shop oi có chốt don ko vay","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378924","Khách 24: Vay lay minh màu trắng nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378925","Dạ trắng xinh á chị yêu","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378926","Khách 24: Ban thay hồng với trắng nao dep vay","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378927","Khách 24: Vay ah","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378928","Dạ còn màu hồng và trắng thôi c ơi :((","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378929","Khách 24: Màu kem nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378930","đầm mình lấy màu gì vậy ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378931","Khách 24: Ship mình đầm nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378932","Túi giá 245k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378933","Khách 24: Túi gia bao nhiu vay?","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378934","Khách 24: Ko có ban oi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378935","Mình có đơn trên live không chị Thuong Nguyen . Trường hợp mình được đọc tên trên live không chốt trong tin nhắn giúp e nhé chị để tránh trường hợp bị trùng bill ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378936","Khách 24: 532/3/9 kinh duong vuong p an lac q binh tan tphcmxxxxx","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378937","Khách 24: Ship mìn đầm này shop oi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378938","Hiện tại hệ thống đang quá tải, khách vui lòng để lại nội dung , vấn đề , kèm theo hình ảnh mà bạn quan tâm hoặc cần xử lý","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378939","ốt hàng (thông tin đầy đủ sđt + địa chỉ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378940","vui lòng làm theo các bước để Nv xử lý đơn hàng nhanh hơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378941","251.730.9099.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378942","Khách 24: Bắt đầu","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378943","onversation: Khách 25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378944","Khách 25: Uhm,chị trả đúng số tiền rồi em","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378945","đơn rồi của mình là 2869k bạn trừ 1tr là còn 1869k ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378946","dạ chị đơn sau chị nhắc các bạn trừ giúp e với ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378947","Khách 25: Ok,vậy lần sau chị nhắc, cảm ơn em","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378948","còn đơn lỗi các bạn chưa trừ ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378949","dạ chị e kiểm tra các bạn trừ cho chị cọc 1tr rồi ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378950","dạ chị để e kiểm tra lại ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378951","Khách 25: Ừa em, chị kiểm tra mấy lần rồi","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378952","dạ chị bill mộc đỏ không có ạ chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378953","Khách 25: Có bill này thôi em","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378954","Khách 25: Chị kiếm k thấy em ơi chắc mấy ban quên,","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378955","Dạ em chào chị Nguyễn Đăng Khoa. Chị vui lòng chụp giúp em tờ bill MỘC ĐỎ bên trong gói hàng, bill có ghi chữ bằng bút bi, mặt sau có ghi những món chị chốt kèm giá tiền, chụp lại gửi em check nha !","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378956","Khách 25: Shop ơi đơn này bên em trừ tiền hàng lỗi 198k và cọc 1triệu chưa, chị k thấy bill nên k biết","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378957","Khách 25: Trừ cọc 1triệu rồi chưa e","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378958","dạ chị đơn của mình là 1.869.000đ ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378959","Khách 25: Vậy bill của chị là nhiêu để chút shipper giao chị trả","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378960","Khách 25: Ok,ko sao","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378961","dạ e gửi nhầm bill ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378962","Khách 25: Gởi nhầm đồ hây bill","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378963","do có 2 chị mua hàng nhiều quá nên e tưởng chị e gửi nhầm ạ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378964","Khách 25: Gởi nhầm đồ hả","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"378965","dạ chị","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
